,lon,lat,Year,geometry,lon_m,lat_m
0000FRBRMN2,-0.755953,51.296698,1838.0,POINT (-0.755953 51.296698),486832.74144773965,156020.25558935187
9100HTRWTE4,-0.446419,51.458837,1999.0,POINT (-0.446419 51.458837),508030.8419187698,174462.06217799208
910GABWD,0.121394,51.491062,1999.0,POINT (0.121394 51.491062),547372.0715151014,179035.03864328127
910GACTNCTL,-0.262971,51.508716,1853.0,POINT (-0.262971 51.508716),520643.39014714403,180294.99907422304
910GACTONML,-0.266756,51.51718,1868.0,POINT (-0.266756 51.51718),520358.4358943373,181229.99909136427
910GADLESTN,-0.484457,51.373046,1848.0,POINT (-0.484457 51.373046),505585.6535780951,164866.32948001235
910GALBNYPK,0.125737,51.435453,1935.0,POINT (0.125737 51.435453),547853.1764000682,172860.16787061963
910GALEXNDP,-0.120235,51.597924,1873.0,POINT (-0.120235 51.597924),530293.2675316593,190459.84695755364
910GAMERSHM,-0.60759,51.674207,1892.0,POINT (-0.60759 51.674207),496377.88870678353,198187.8516554286
910GANERLEY,-0.065886,51.412153,1839.0,POINT (-0.065886 51.412153),534603.1841669581,169900.2260529613
910GANGELRD,-0.049239,51.612412,1840.0,POINT (-0.049239 51.612412),535167.2612373361,192199.92659959762
910GAPSLEY,-0.462935,51.732522,1938.0,POINT (-0.462935 51.732522),506243.53065065126,204873.46201271057
910GASFDMSX,-0.468071,51.436507,1848.0,POINT (-0.468071 51.436507),506578.5770009347,171947.18146476062
910GASHD,-0.307572,51.317874,1859.0,POINT (-0.307572 51.317874),518038.32065154397,159000.32281216412
910GASHFKY,0.876197,51.143706,1842.0,POINT (0.876197 51.143706),601279.8028754635,142204.17428576085
910GBALHAM,-0.152707,51.443259,1863.0,POINT (-0.152707 51.443259),528478.4966895276,173203.40613166708
910GBANSTED,-0.213159,51.329349,1865.0,POINT (-0.213159 51.329349),524586.2411037207,160432.3273992862
910GBARKING,0.080988,51.539413,1854.0,POINT (0.080988 51.539413),544414.3233695058,184331.10384183616
910GBARNES,-0.242164,51.467086,1846.0,POINT (-0.242164 51.467086),522198.4029119288,175700.1158131645
910GBATABAL,0.194228,51.289761,1862.0,POINT (0.194228 51.289761),553098.1290568254,156800.3143443007
910GBATRSPK,-0.147533,51.47696,1865.0,POINT (-0.147533 51.47696),528743.3131324844,176960.08019899385
910GBAYFORD,-0.09561,51.757716,1924.0,POINT (-0.09561 51.757716),531535.1853373653,208273.60528871918
910GBCKNHMH,-0.015951,51.424583,1892.0,POINT (-0.015951 51.424583),538038.1878155374,171375.24611963582
910GBCKNHMJ,-0.026016,51.411175,1857.0,POINT (-0.026016 51.411175),537378.6253829758,169865.40201195213
910GBCNSFLD,-0.643822,51.611291,1906.0,POINT (-0.643822 51.611291),494002.67449265666,191143.8285093187
910GBCWD,-0.359115,51.705428,1858.0,POINT (-0.359115 51.705428),513480.4174750591,202016.6127591249
910GBELM,-0.198855,51.343815,1865.0,POINT (-0.198855 51.343815),525543.2606116942,162065.32575234838
910GBELNGHM,-0.019331,51.432913,1892.0,POINT (-0.019331 51.432913),537778.1782796839,172295.18238812167
910GBELVEDR,0.152286,51.492118,1859.0,POINT (0.152286 51.492118),549513.0438087794,179215.06267781951
910GBERKHMD,-0.562013,51.763134,1838.0,POINT (-0.562013 51.763134),499334.4249082811,208138.37593471218
910GBEXLEY,0.147903,51.440219,1866.0,POINT (0.147903 51.440219),549378.2183374781,173435.06860378227
910GBHILLPK,-0.069221,51.641519,1880.0,POINT (-0.069221 51.641519),533698.1987399486,195399.91747374047
910GBICKLEY,0.045241,51.400104,1858.0,POINT (0.045241 51.400104),542368.2578762807,168770.11949511716
910GBILERCY,0.41863,51.628884,1889.0,POINT (0.41863 51.628884),567498.0924003768,194999.83846957504
910GBIRKBCK,-0.055733,51.403893,1930.0,POINT (-0.055733 51.403893),535333.5756774637,169000.41222046525
910GBLCHSRD,-0.041185,51.586768,1894.0,POINT (-0.041185 51.586768),535801.2443375982,189363.11793394783
910GBLFR,-0.104166,51.509613,1999.0,POINT (-0.104166 51.509613),531660.6880877072,180668.1932742977
910GBLKHTH,0.008872,51.465796,1849.0,POINT (0.008872 51.465796),539638.2293118009,176005.08843017765
910GBNHAM,-0.646374,51.523506,1899.0,POINT (-0.646374 51.523506),494006.76495983975,181377.93892418616
910GBNSBDGE,-0.25263,51.472009,1916.0,POINT (-0.25263 51.472009),521458.41350347997,176230.1776525898
910GBNTFORD,-0.309651,51.487547,1849.0,POINT (-0.309651 51.487547),517458.475913178,177865.128819197
910GBOOKHAM,-0.384021,51.288739,1885.0,POINT (-0.384021 51.288739),512782.3840000244,155640.42428700588
910GBOWESPK,-0.120582,51.607012,1880.0,POINT (-0.120582 51.607012),530243.2629378919,191469.8598004728
910GBOXHAWH,-0.32849,51.254012,1867.0,POINT (-0.32849 51.254012),516742.3875929435,151865.43538409012
910GBRBY,-0.202309,51.545166,1860.0,POINT (-0.202309 51.545166),524753.2601634532,184449.94172537368
910GBRBYPK,-0.209902,51.540929,1904.0,POINT (-0.209902 51.540929),524238.3154013536,183965.86624850897
910GBRIMSDN,-0.030817,51.655583,1884.0,POINT (-0.030817 51.655583),536313.2160654505,197034.88808151992
910GBRIXTON,-0.114531,51.462961,1862.0,POINT (-0.114531 51.462961),531075.045427767,175461.86980027548
910GBRKMNPK,-0.204549,51.721062,1926.0,POINT (-0.204549 51.721062),524117.40901079075,204006.69555180683
910GBRKWOOD,-0.635748,51.303758,1864.0,POINT (-0.635748 51.303758),495198.7809619569,156954.3733994166
910GBRLANDS,-0.280714,51.399045,1933.0,POINT (-0.280714 51.399045),519698.40233257355,168070.2202313317
910GBRNHRST,0.159646,51.464959,1895.0,POINT (0.159646 51.464959),550113.1148929344,176210.0995808264
910GBROCKLY,-0.037537,51.464649,1871.0,POINT (-0.037537 51.464649),536418.1952172597,175790.14822227228
910GBROMLYN,0.016993,51.408328,1878.0,POINT (0.016993 51.408328),540378.2257235027,169630.22462462645
910GBROMLYS,0.017344,51.399976,1858.0,POINT (0.017344 51.399976),540428.2082391841,168702.1503391561
910GBROXBRN,-0.011087,51.74691,1840.0,POINT (-0.011087 51.74691),537401.1880429769,207227.5298528496
910GBRTWOOD,0.299586,51.613605,1840.0,POINT (0.299586 51.613605),559313.120528743,193034.80895170296
910GBRUCGRV,-0.069867,51.593959,1872.0,POINT (-0.069867 51.593959),533793.2766869528,190109.918383012
910GBTHNLGR,-0.059568,51.523917,1946.0,POINT (-0.059568 51.523917),534713.1501524266,182339.96596640925
910GBUSHEY,-0.384752,51.645582,1841.0,POINT (-0.384752 51.645582),511856.2194329614,195321.68545964494
910GBXLYHTH,0.133735,51.4635,1895.0,POINT (0.133735 51.4635),548318.1248687024,175995.09526628035
910GBYFLANH,-0.48139,51.349797,1927.0,POINT (-0.48139 51.349797),505852.58813578123,162285.37530507083
910GCAMHTH,-0.057279,51.531973,1999.0,POINT (-0.057279 51.531973),534848.1342430776,183240.03824521904
910GCANONST,-0.090357,51.511451,1999.0,POINT (-0.09035700000000001 51.511451),532613.5664205077,180897.49290486157
910GCATERHM,-0.078307,51.282141,1856.0,POINT (-0.078307 51.282141),534118.1539519586,155420.2737247505
910GCATFBDG,-0.024791,51.444741,1857.0,POINT (-0.024791 51.444741),537363.2182863146,173600.20614771522
910GCATFORD,-0.026317,51.444407,1892.0,POINT (-0.026317 51.444407),537258.1782578654,173560.2082021291
910GCBARPAR,-0.331549,51.522931,1906.0,POINT (-0.331549 51.522931),515848.4409027388,181765.1144870874
910GCFPK,-0.036503,51.455189,1892.0,POINT (-0.036503 51.455189),536518.2212276037,174740.1356970952
910GCHADHDD,0.287447,51.485557,1993.0,POINT (0.287447 51.485557),558918.0364033105,178770.07590401702
910GCHDWLHT,0.128958,51.568039,1864.0,POINT (0.128958 51.568039),547648.1288325393,187610.04885477806
910GCHEAM,-0.214167,51.355479,1844.0,POINT (-0.214167 51.355479),524445.2951258088,163336.2850855473
910GCHESHNT,-0.02396,51.702876,1846.0,POINT (-0.02396 51.702876),536645.1686986123,202306.70374885073
910GCHINGFD,0.009897,51.633087,1873.0,POINT (0.009897 51.633087),539198.1866651473,194610.0419240676
910GCHISWCK,-0.267835,51.481137,1849.0,POINT (-0.267835 51.481137),520378.44023115817,177220.1552305087
910GCHLFNAL,-0.560519,51.668109,1889.0,POINT (-0.560519 51.668109),499645.9869048814,197572.78380658693
910GCHLMSFD,0.468572,51.736373,1843.0,POINT (0.468572 51.736373),570550.2505903443,207067.4610032431
910GCHLSFLD,0.10907,51.356256,1868.0,POINT (0.10907 51.356256),546948.144847594,164020.02625799243
910GCHRW,-0.518312,51.654249,1889.0,POINT (-0.518312 51.654249),502596.06843156926,196089.80661160272
910GCHRX,-0.126137,51.507819,1999.0,POINT (-0.126137 51.507819),530141.2146462606,180429.4399974448
910GCHSD,-0.169503,51.309277,1899.0,POINT (-0.169503 51.309277),527683.2002722269,158275.37011639122
910GCHSLHRS,0.057418,51.405557,1865.0,POINT (0.057418 51.405557),543198.2391232748,169400.18517313793
910GCHSSN,-0.300699,51.364041,1939.0,POINT (-0.300699 51.364041),518398.37521068845,164145.3277540856
910GCHSSS,-0.308157,51.35655,1939.0,POINT (-0.308157 51.35655),517898.3858278431,163300.31867436587
910GCHTSEY,-0.509317,51.387069,1848.0,POINT (-0.509317 51.387069),503823.6721374136,166390.28237074713
910GCLANDON,-0.502766,51.264005,1885.0,POINT (-0.502766 51.264005),504558.45503755886,152714.43450317244
910GCLAPTON,-0.057025,51.561644,1873.0,POINT (-0.057025 51.561644),534778.1600551169,186539.9869188798
910GCLDNNRB,-0.116729,51.543041,1850.0,POINT (-0.116729 51.543041),530693.2166284632,184362.91013054905
910GCLOCKHS,-0.040657,51.408586,1864.0,POINT (-0.040657 51.408586),536368.1806175138,169550.1964800597
910GCLPHHS,-0.132522,51.465481,1866.0,POINT (-0.132522 51.465481),529818.2128816465,175710.07243838423
910GCLPHMJ1,-0.168997,51.463724,1863.0,POINT (-0.168997 51.463724),527289.6164296548,175450.7232363093
910GCLPHMJC,-0.168997,51.463724,1863.0,POINT (-0.168997 51.463724),527289.6164296548,175450.7232363093
910GCMDNRD,-0.138701,51.541791,1870.0,POINT (-0.138701 51.541791),529173.215103236,184184.92044123454
910GCNDAW,-0.049667,51.498053,1999.0,POINT (-0.049667 51.498053),535476.6580266958,179482.1205537754
910GCNNB,-0.092191,51.548732,1869.0,POINT (-0.092191 51.548732),532378.1655454561,185039.89388951665
910GCOLSDNS,-0.137887,51.315838,1889.0,POINT (-0.137887 51.315838),529868.2186689528,159060.33184185272
